command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
snakemake -c1 --config nnodes=3 inputfile=../test-data-70MB.txt  -- testlc,1.4778969326,0.0022763601451282617,1.4777710931999999,0.8678653000000001,0.57519446,1.4750761887,1.4816464177000002,snakemake,testlc,3,7
snakemake -c1 --config nnodes=3 inputfile=../test-data-80MB.txt  -- testlc,1.5587717466000002,0.0020010017393269973,1.5580134672,0.8904464999999998,0.6332758599999998,1.5559188366999999,1.5622438657,snakemake,testlc,3,8
snakemake -c1 --config nnodes=3 inputfile=../test-data-90MB.txt  -- testlc,1.6374387586,0.0030505306385543,1.6372837601999999,0.8909958,0.7108114600000001,1.6333365247,1.6429318497,snakemake,testlc,3,9
snakemake -c1 --config nnodes=3 inputfile=../test-data-100MB.txt  -- testlc,1.7168318821,0.00661781247670403,1.7142998937,0.8932994000000001,0.78727176,1.7095702407,1.7297715207000002,snakemake,testlc,3,10
snakemake -c1 --config nnodes=3 inputfile=../test-data-110MB.txt  -- testlc,1.8058830056000001,0.03944882540651874,1.7951941802000002,0.9189670000000001,0.8392483599999998,1.7816400547000002,1.9174110127,snakemake,testlc,3,11
snakemake -c1 --config nnodes=3 inputfile=../test-data-120MB.txt  -- testlc,1.8770836382999998,0.0068056411536736305,1.8769277867,0.9412032000000001,0.8992425599999999,1.8680030487000001,1.8932968247,snakemake,testlc,3,12
snakemake -c1 --config nnodes=3 inputfile=../test-data-130MB.txt  -- testlc,1.9532439211,0.0038791997460157377,1.9533369212,0.9448304000000002,0.97281316,1.9475192857,1.9592434197000002,snakemake,testlc,3,13
snakemake -c1 --config nnodes=3 inputfile=../test-data-140MB.txt  -- testlc,2.0355522011000002,0.0045796358825186375,2.0363921757,0.9616924000000001,1.0368039599999999,2.0269214657,2.0406069817000003,snakemake,testlc,3,14
snakemake -c1 --config nnodes=3 inputfile=../test-data-150MB.txt  -- testlc,2.1111214585000004,0.00483968202090508,2.1103890512000003,0.9672529999999998,1.1084810600000001,2.1047273747000004,2.1220956637,snakemake,testlc,3,15
snakemake -c1 --config nnodes=3 inputfile=../test-data-160MB.txt  -- testlc,2.1916274352000005,0.005344732248184359,2.1927356357,0.9861671999999999,1.16871816,2.1840083427000003,2.1980744637000003,snakemake,testlc,3,16
nextflow run main.nf --input=test-data-00MB.txt --outdir=results,4.57312845166,0.9432994897899742,4.29578852856,16.551167979999995,0.4180758,4.075228725560001,7.222346416560001,nextflow,testlc,3,0
nextflow run main.nf --input=test-data-10MB.txt --outdir=results,4.34766794996,0.1575336916328186,4.29762417356,17.067163379999993,0.5348431,4.121101464560001,4.60629854156,nextflow,testlc,3,1
nextflow run main.nf --input=test-data-20MB.txt --outdir=results,4.34969838846,0.11395390266082574,4.34363221906,17.220973280000003,0.634481,4.190255528560001,4.52399376656,nextflow,testlc,3,2
nextflow run main.nf --input=test-data-30MB.txt --outdir=results,4.450938193560001,0.10837094130138243,4.442390788060001,17.41339888,0.7343141999999998,4.21747438556,4.59073055056,nextflow,testlc,3,3
nextflow run main.nf --input=test-data-40MB.txt --outdir=results,4.51189972556,0.10393676475368564,4.47982355406,17.556014579999996,0.8304696999999999,4.39251077956,4.71620045756,nextflow,testlc,3,4
nextflow run main.nf --input=test-data-50MB.txt --outdir=results,4.58202681936,0.14728714335332183,4.5934768985600005,17.660647579999996,0.9490008,4.39016787156,4.809589547560001,nextflow,testlc,3,5
nextflow run main.nf --input=test-data-60MB.txt --outdir=results,4.71150623866,0.10037894938720099,4.703449944060001,17.776052479999997,1.0154402,4.54635340156,4.8992571195600005,nextflow,testlc,3,6
nextflow run main.nf --input=test-data-70MB.txt --outdir=results,4.7577303855599995,0.12610663217462068,4.75008974006,18.080166079999998,1.0925530999999997,4.59714819656,4.947148755560001,nextflow,testlc,3,7
nextflow run main.nf --input=test-data-80MB.txt --outdir=results,4.8433653881600005,0.11956825246000358,4.87353418356,17.70958728,1.1939809000000001,4.631942174560001,5.00595768156,nextflow,testlc,3,8
nextflow run main.nf --input=test-data-90MB.txt --outdir=results,4.86655020096,0.14556967220590222,4.86166480206,17.986430079999998,1.3201518,4.54881134956,5.03344167156,nextflow,testlc,3,9
nextflow run main.nf --input=test-data-100MB.txt --outdir=results,4.92117522136,0.1687322296002083,4.850717528560001,17.763287879999996,1.3794832,4.78845461756,5.31905920056,nextflow,testlc,3,10
nextflow run main.nf --input=test-data-110MB.txt --outdir=results,5.01377026496,0.13670341748916637,5.033191865560001,18.030921879999998,1.4614443999999998,4.819460240560001,5.212358448560001,nextflow,testlc,3,11
nextflow run main.nf --input=test-data-120MB.txt --outdir=results,5.086084635859999,0.132775417170347,5.0632948110600005,18.403770179999995,1.5738697,4.93139764856,5.31005602156,nextflow,testlc,3,12
nextflow run main.nf --input=test-data-130MB.txt --outdir=results,5.15509827226,0.15143995599880675,5.16512930906,18.018788079999997,1.6184239999999996,4.95155038556,5.46405096156,nextflow,testlc,3,13
nextflow run main.nf --input=test-data-140MB.txt --outdir=results,5.200326431260001,0.09318905504116314,5.174860729560001,17.914180679999994,1.6897748,5.1127181985600005,5.41901477556,nextflow,testlc,3,14
nextflow run main.nf --input=test-data-150MB.txt --outdir=results,5.149465770160001,0.1960391699066405,5.11127910906,17.512292379999998,1.7613048,4.87379053556,5.50556896356,nextflow,testlc,3,15
nextflow run main.nf --input=test-data-160MB.txt --outdir=results,5.24586164226,0.11800617081677059,5.207132745560001,17.640740479999998,1.82335,5.10111556656,5.478173061560001,nextflow,testlc,3,16
